survey_#,survey_id,age,gender,race,indigenous_group,marital_status,children,age_entered,years_active_guerilla,question 2 (wvs #33),question 3 (wvs #35),question 5 (wvs-6 #48),question 6 (wvs #28),question 8 (wvs #29),question 9 (wvs #30),question 11 (wvs #31),question 12 (wvs #32),homosexuality,prostitution,abortion,divorce,premarital_sex,husband_hitting_wife,breadwinner,female_guerilla_leaders,pct_women_in_unit,group_domestic_tasks,ind_domestic_tasks,spouse_earn_more,literate_pre_guerilla,joined_formal_education,feminist,prior_politics_knowledge,former_traditional_mindset,common_to_fall_in_love,common_to_have_sex,sex_permitted,romance_civilians,common_men_or_women,birth_control,pregnancy,abortion_commonness,pre_post_sexism
1,VT-01,,Male,Black,,Single,5.0,,,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,,,,10.0,10.0,1.0,1.0,2.0,,3.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0
2,VT-02,61.0,Male,Mestizo/a,,Co-habitation,1.0,16.0,40.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,1.0,35.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0
3,VT-03,58.0,Female,Mestizo/a,,Single,6.0,40.0,13.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,9.0,5.5,5.5,5.5,4.0,2.0,1.0,1.0,10.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0
4,VT-04,50.0,Male,Other,,Co-habitation,1.0,29.0,16.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,5.5,1.0,5.5,10.0,10.0,1.0,1.0,2.0,30.0,3.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0
5,VT-05,44.0,Female,Indigenous,,Co-habitation,0.0,19.0,20.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,2.0,60.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,1.0,2.0
6,VT-06,43.0,Male,Mestizo/a,,Single,0.0,22.0,16.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,10.0,5.5,10.0,10.0,10.0,1.0,1.0,1.0,30.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0
7,VT-07,35.0,Male,Mestizo/a,,Co-habitation,1.0,12.0,18.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,10.0,1.0,1.0,10.0,10.0,1.0,1.0,3.0,30.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0
8,VT-08,25.0,Male,Black,,Co-habitation,1.0,10.0,10.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,1.0,2.0,30.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0
9,VT-09,34.0,Female,Other,,Co-habitation,5.0,22.0,7.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,10.0,7.0,5.5,10.0,10.0,1.0,0.0,1.0,40.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0
10,VT-10,52.0,Male,Other,,Single,6.0,40.0,7.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,10.0,9.0,5.5,5.5,10.0,1.0,1.0,1.0,30.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0
