SURVEY_#,SURVEY_ID,AGE,GENDER,RACE,INDIGENOUS GROUP,MARITIAL_STATUS,CHILDREN,YEARS_ACTIVE_GUERILLA,QUESTION 2 (WVS #33),QUESTION 3 (WVS #35),QUESTION 5 (WVS-6 #48),QUESTION 6 (WVS #28),QUESTION 8 (WVS #29),QUESTION 9 (WVS #30),QUESTION 11 (WVS #31),QUESTION 12 (WVS #32),HOMOSEXUALITY,PROSTITUTION,ABORTION,DIVORCE,PREMARITAL_SEX,HUSBAND_HITTING_WIFE,BREADWINNER,FEMALE_GUERILLA_LEADERS,%_WOMEN_IN_UNIT,GROUP_DOMESTIC_TASKS,IND_DOMESTIC_TASKS,SPOUSE_EARN_MORE,LITERATE_PRE_GUERILLA,JOINED_FORMAL_EDUCATION,FEMINIST,PRIOR_POLITICS_KNOWLEDGE,FORMER_TRADITIONAL_MINDSET,COMMON_TO_FALL_IN_LOVE,COMMON_TO_HAVE_SEX,SEX_PERMITTED,ROMANCE_CIVILIANS,COMMON_MEN_OR_WOMEN,BIRTH_CONTROL,PREGNANCY,ABORTION.1,PRE_POST_SEXISM,COMMENTS
1,VT-01,,Male,Black,,Single,5.0,,2.0,2.0,1.0,3,3.0,3.0,3.0,3.0,,,,10.0,10.0,1.0,1,2.0,,3.0,3.0,0.0,3.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,2,
2,VT-02,61.0,Male,Mestizo,,Co-habitation,1.0,40.0,2.0,2.0,2.0,3,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,0,1.0,35%,1.0,1.0,0.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2,
3,VT-03,58.0,Female,Mestiza,,Single,6.0,13.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,9.0,5.5,5.5,5.5,4.0,2.0,1,1.0,10%,2.0,2.0,0.0,3.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,0,"#11: ""No, nada"" #14: ""cuando es por necesidad"" #22: ""los unicos que no cocinaban eran los comandantes; las que le hacian rancha a los comandantes si eran solamente mujeres."" #25: ""Estudie hasta 5*"" #28: ""ingrese por conciencia, para luchas por un pueblo, la igualdad social."" #32: ""con permiso del superior/comandante"""
4,VT-04,50.0,Male,Other,,Co-habitation,1.0,16.0,2.0,2.0,1.0,2,3.0,4.0,4.0,4.0,5.5,1.0,5.5,10.0,10.0,1.0,1,2.0,30%,3.0,3.0,0.0,3.0,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0,"#25: ""toda la primaria ahora en diciembre bachiller"" #32: ""con permiso"""
5,VT-05,44.0,Female,Indigenous,,Co-habitation,0.0,20.0,2.0,2.0,1.0,3,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,0,2.0,60%,2.0,2.0,0.0,2.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,1.0,2,"#22: ""comandantes tambien cocinaban des el ejemplo"" ""29 ""siii, claro!"" #38: ""dejacion de armas; reincorporados"""
6,VT-06,43.0,Male,Mestizo,,Single,0.0,16.0,2.0,2.0,2.0,3,4.0,4.0,4.0,3.0,10.0,5.5,10.0,10.0,10.0,1.0,1,1.0,30%,3.0,3.0,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2,"#5: ""tambien formacion integral"" #25: ""universidad"" #28: ""mucho"" #29: ""no era pera nada censervados"" #33: una una epoca donde si se permitia"" #38: ""ahora hay mas igualdad por la difusion"""
7,VT-07,35.0,Male,Mestizo,,Co-habitation,1.0,18.0,1.0,1.0,2.0,1,4.0,4.0,1.0,2.0,10.0,1.0,1.0,10.0,10.0,1.0,1,3.0,30%,3.0,3.0,0.0,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2,"#25: ""hasta 2* de primaria"" #27: ""no, igualdad de genero si"" #28: ""nada"" #32: ""pedis permiso"" #33: ""pero era prohibido"" "
8,VT-08,25.0,Male,Black,,Co-habitation,1.0,10.0,1.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,1,2.0,30%,3.0,3.0,0.0,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,0,
9,VT-09,34.0,Female,Other,,Co-habitation,5.0,7.0,2.0,1.0,1.0,1,3.0,4.0,2.0,2.0,10.0,7.0,5.5,10.0,10.0,1.0,0,1.0,40%,3.0,3.0,0.0,3.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2,"#25: ""5* de primaria"" #34: ""de una mujer era mal visto"" #38: ""los hombres se han vuelto muy flojos"""
10,VT-10,52.0,Male,Other,,Single,6.0,7.0,2.0,2.0,1.0,4,4.0,4.0,4.0,2.0,10.0,9.0,5.5,5.5,10.0,1.0,1,1.0,30%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,1,"#20: ""yo nunca tuve un mando mujer. si habia, pero yo nuna tuve."" #22: ""todos por igual"" #25: ""5* de primaria, ahora"" #27: ""no lausa, la balabra feminista, pero si igualdad de genero. el fema idelegico, permanentemente estudiando y aprendiendo"" #31: ""era muy facil cambiar de pareja"" #32: ""con permiso"" #34: ""era un delito grav; en ese sentido si habia lena desigualdad"" #37: ""muy pocas podian quedarselo"" #38: ""aqui es libre uso de decidir"""
